title,location,price,bedrooms,bathrooms,agency,link,desc
2 Bed House with En Suite in Gigiri,"Gigiri, Westlands","450,000",2,nan,bright-homes-management,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-gigiri-3830324,2 Bed House with En Suite in Gigiri
4 Bed House with En Suite in Nyari,"Nyari, Westlands","350,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyari-3830320,4 Bed House with En Suite in Nyari
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","450,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3830318,4 Bed House with En Suite in Kitisuru
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands","250,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-westlands-area-3830315,4 Bed House with En Suite in Westlands Area
5 Bed House with En Suite in Thigiri,"Thigiri, Westlands","430,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-thigiri-3830306,5 Bed House with En Suite in Thigiri
7 Bed House with En Suite in Karen,Karen,"450,000",7,8,newpoint-properties,https://www.buyrentkenya.com/listings/7-bedroom-house-for-rent-karen-3830300,7 Bed House with En Suite in Karen
3 Bed House with En Suite in Karen,Karen,"300,000",3,3,geoscape-global-limited,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-karen-3830294,3 Bed House with En Suite in Karen
5 Bed Villa with En Suite in Runda,"Runda, Westlands","500,000",5,6,great-five-consultants,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-runda-3830289,5 Bed Villa with En Suite in Runda
5 Bed Townhouse with En Suite in Karen,Karen,"380,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3830290,5 Bed Townhouse with En Suite in Karen
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands","350,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-rosslyn-3830286,4 Bed Townhouse with En Suite in Rosslyn
4 Bed House with Staff Quarters at Loresho,"Loresho, Westlands","350,000",4,3,kiragu-and-mwangi,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-loresho-3818611,4 Bed House with Staff Quarters at Loresho
5 Bed Villa with En Suite at Nyali Mombasa,"Nyali Mombasa, Nyali Area, Nyali","150,000",5,5,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-nyali-area-3708196,5 Bed Villa with En Suite at Nyali Mombasa
4 Bed House with En Suite at Karen,Karen,"420,000",4,4,rayalink-properties,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3802870,4 Bed House with En Suite at Karen
3 Bed House with Garden in Kitisuru,"Kitisuru, Westlands","322,500",3,nan,final-find-realtors,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-kitisuru-3830283,3 Bed House with Garden in Kitisuru
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","380,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3830285,5 Bed House with En Suite in Kitisuru
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","160,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-westlands-area-3830278,4 Bed Townhouse with En Suite in Westlands Area
4 Bed House with En Suite in Kyuna,"Kyuna, Westlands","260,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kyuna-3830276,4 Bed House with En Suite in Kyuna
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","530,000",4,4,archstone-realtors,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3807016,4 Bed House with En Suite in Kitisuru
