title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed House with En Suite in Karen,Karen,"500,000",5,5,pam-golding-properties,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3696229,5 Bed House with En Suite in Karen
4 Bed House with En Suite in Karen,Karen,"330,000",4,4,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3696211,4 Bed House with En Suite in Karen
5 Bed House with En Suite at Rosslyn Road,"67, Rosslyn Road, Rosslyn, Westlands","500,000",5,5,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-rosslyn-2-3695777,5 Bed House with En Suite at Rosslyn Road
5 Bed Villa with En Suite at Muthaiga Road,"89, Muthaiga Road, Muthaiga","1,290",5,6,nairobi-royal-homes,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-muthaiga-2-3695773,5 Bed Villa with En Suite at Muthaiga Road
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands","704,891",5,5,pam-golding-properties,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lower-kabete-3694725,5 Bed House with En Suite in Lower Kabete
4 Bed Townhouse with En Suite at Links Road,"Links road, Nyali Area, Nyali","175,000",4,5,samfrance-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-nyali-area-3693415,4 Bed Townhouse with En Suite at Links Road
2 Bed Villa with En Suite in Muthaiga,"2, Muthaiga","4,250",2,3,blue-zone-properties,https://www.buyrentkenya.com/listings/furnished-2-bedroom-villa-for-rent-muthaiga-3693092,2 Bed Villa with En Suite in Muthaiga
4 Bed House with En Suite in Kiambu Road,Kiambu Road,"250,000",4,5,nan,https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-rent-kiambu-road-16-3479660,4 Bed House with En Suite in Kiambu Road
4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali","180,000",4,5,arneel-homes,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-nyali-area-16-3520400,4 Bed Townhouse with En Suite in Nyali Area
5 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali","150,000",5,5,arneel-homes,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-nyali-area-16-3560647,5 Bed Villa with En Suite in Nyali Area
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,"200,000",4,4,pam-golding-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3691121,4 Bed Townhouse with En Suite in Kileleshwa
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali","250,000",4,5,arneel-homes,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-nyali-area-3674983,4 Bed Villa with En Suite in Nyali Area
5 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali","300,000",5,6,arneel-homes,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-nyali-area-3675117,5 Bed Villa with En Suite in Nyali Area
3 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali","85,000",3,3,arneel-homes,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-rent-nyali-area-3679730,3 Bed Villa with En Suite in Nyali Area
